name,neighborhood_or_region,address,address_complement,phone,opening_hours,dish_name,dish_description,dish_image_url,source_url,listing_page,lat,lng,bairro,link
Bar do David,Rio de Janeiro - RJ,"Ladeira Ari Barroso, 66 – Chapéu Mangueira -Loja 3 | Leme, Rio de Janeiro – RJ",,(21) 96483-1046,Terça-feira: 11h – 21h | Quarta-feira: 11h – 21h | Quinta-feira: 11h – 21h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 21h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do David Conchas Dell Mare Conchas de macarrão frito, recheadas de frutos do mar ao alho e óleo e pesto de couve.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/17082210/unknown.jpeg,https://comidadibuteco.com.br/buteco/bar-do-david-rio/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,,,Rio de Janeiro - RJ,https://comidadibuteco.com.br/buteco/bar-do-david-rio/
Bar do Gilson,Vila Isabel,"R. Sousa Franco, 386 | Vila Isabel, Rio de Janeiro – RJ",Lj. B,21971221299,Segunda-feira: 11h – 15h | Terça-feira: 11h – 15h | Quarta-feira: 11h – 15h | Quinta-feira: 11h – 21h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 21h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Gilson Vaca Atrevida Releitura da clássica vaca atolada: creme de aipim com batata-baroa e alho-poró, finalizado com queijo azul, costela bovina desfiada e farofa crocante de bacon.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081944/bardogilson_vacaatrevida_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-gilson/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9123791,-43.2465804,Vila Isabel,https://comidadibuteco.com.br/buteco/bar-do-gilson/
Bar do Luisinho,Encantado,"R. Dois de Fevereiro, 228 | Encantado, Rio de Janeiro – RJ",Ljs. B E C,21994218233,Terça-feira: 11h – 23h30 | Quarta-feira: 11h – 23h30 | Quinta-feira: 11h – 23h30 | Sexta-feira: 11h – 23h30 | Sábado: 11h – 23h30 | Domingo: 11h – 22h30,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Luisinho Ossinho da Roça Duas coxinhas verdes de costela suína com massa de brócolis. Uma releitura criativa do clássico brasileiro: coxinha feita com massa de brócolis, recheada com costela suína desfiada, cozida lentamente. Empanada na farinha panko, sendo finalizada com o próprio osso da costela, que serve como cabo e dá um visual marcante e divertido.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081953/bardoluisinho_ossinhodaroca_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-luisinho/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.903919,-43.3032247,Encantado,https://comidadibuteco.com.br/buteco/bar-do-luisinho/
Bar do Mariano,Grajaú,"R. Professor Valadares, 78 | Grajaú, Rio de Janeiro – RJ",,(21) 3079-4658 | (21) 2578-1232,Segunda-feira: 13h – 22h30 | Terça-feira: 13h – 22h30 | Quarta-feira: 13h – 22h30 | Quinta-feira: 13h – 23h30 | Sexta-feira: 13h – 23h30 | Sábado: 13h – 23h30 | Domingo: 13h – 22h30,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Mariano Brasileirinho Cubos de carnes marinados ao “vinadalho”, com creme de milho e couve refogada. Finalizado com couve crispy, alho torrado e ovo de codorna.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082101/bardomariano_brasileirinho_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/3530-autosave-v1/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9201521,-43.2634287,Grajaú,https://comidadibuteco.com.br/buteco/3530-autosave-v1/
Bar do Mineiro,Santa Teresa,"R. Paschoal Carlos Magno, 99 | Santa Teresa, Rio de Janeiro – RJ",,2122219227,Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 22h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Mineiro Ora Ora que melhora Coxa de frango recheada com catupiry e ora-pro-nóbis, servida com creme de frango.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082108/bardomineiro_oraoraquemelhora_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-mineiro/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9209033,-43.1876466,Santa Teresa,https://comidadibuteco.com.br/buteco/bar-do-mineiro/
Bar do Mozoca,Méier,"R. Leite Ribeiro, 43 | Méier, Rio de Janeiro – RJ",,21964308878,Segunda-feira: 11h – 22h | Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 22h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Mozoca Delícia do Mozoca Massa de batata-doce recheada com carne-seca, queijo e brócolis.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082116/bardomozoca_deliciadomozoca_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-mozoca/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9032813,-43.2890187,Méier,https://comidadibuteco.com.br/buteco/bar-do-mozoca/
Bar do Thomaz,Camorim,"Rua Gerônimo Serqueira, 26 | Camorim, Rio de Janeiro – RJ",Entrar na Rua lateral do Mercado Unidos,21966019675,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 19h – 1h | Sábado: 13h – 1h | Domingo: 13h – 0h,-,Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Thomaz Do preto gostoso ao branco metido à besta: tamo junto Caldo de feijão-preto e branco. O feijão-preto acompanha couve crispy e torresmo. O feijão-branco acompanha camarão e alho-poró tostado na manteiga.,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082123/bardothomaz_dopretogostosoaobrancometidoabesatamojunto_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-thomaz/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,,,Camorim,https://comidadibuteco.com.br/buteco/bar-do-thomaz/
Bar do Tino,Santa Teresa,"R. Almirante Alexandrino, 3780 | Santa Teresa, Rio de Janeiro – RJ",Casa 1,21964127284,Quinta-feira: 11h30 – 19h | Sexta-feira: 11h30 – 19h | Sábado: 11h30 – 19h | Domingo: 11h30 – 19h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Tino Verdura e tino, meu buteco é o destino Costela suína defumada desfiada com couve mineira refogada com bacon e tiras de aipim frito com queijo ralado e salsa.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082131/bardotino_verduraetinomeubutecoeodestino_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-tino/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9249372,-43.189096,Santa Teresa,https://comidadibuteco.com.br/buteco/bar-do-tino/
Bar do Zé Ilha de Paquetá,Paquetá,"R. Comandante Guedes de Carvalho, 97 | Paquetá, Rio de Janeiro – RJ",Casa 1,21997733547,Sexta-feira: 11h – 17h | Sábado: 11h – 17h | Domingo: 11h – 17h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Zé Ilha de Paquetá Caldinhos do Zé Dois caldos: feijoada de camarão com alho-poró, acompanha torradas; caldo de feijão-preto com bacon, linguiça calabresa e cubos de carne. Acompanha farofa de couve e alho.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082240/bardozeilhadepaqueta_caldinhosdoze_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-ze-ilha-de-paqueta/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.7661774,-43.109505,Paquetá,https://comidadibuteco.com.br/buteco/bar-do-ze-ilha-de-paqueta/
Bar Du Barão,Grajaú,"R. Castro Barbosa, 36 | Grajaú, Rio de Janeiro – RJ","Lj A – Esquina com Barão de Mesquita, 1043",21965512118,Terça-feira: 16h – 22h | Quarta-feira: 16h – 22h | Quinta-feira: 16h – 22h | Sexta-feira: 16h – 22h | Sábado: 12h – 22h | Domingo: 12h – 20h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar Du Barão Barão Vermelho Bolinhos com massa de feijão vermelho, recheados com carne-seca, queijo manteiga, queijo muçarela e couve manteiga. Acompanha geleia de caju, levemente picante.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082248/bardubarao_baraovermelho_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-du-barao/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9243429,-43.2561669,Grajaú,https://comidadibuteco.com.br/buteco/bar-du-barao/
Bar e Restaurante Elo Perdido,Praça da Bandeira,"Praça da Bandeira, 317 | Praça da Bandeira, Rio de Janeiro – RJ",,2135968962,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar e Restaurante Elo Perdido Era uma vez um Rabo Bolinho de rabada com agrião, feito com massa de polenta.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082255/barerestauranteeloperdido_eraumavezumrabo_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-e-restaurante-elo-perdido/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9113245,-43.2146501,Praça da Bandeira,https://comidadibuteco.com.br/buteco/bar-e-restaurante-elo-perdido/
Bar Gato de Botas,Vila Isabel,"R. Torres Homem, 118 | Vila Isabel, Rio de Janeiro – RJ",Lj. C,21981288252,Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 12h – 0h | Domingo: 12h – 22h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar Gato de Botas Gato Poró Dois coxões recheados com costela, queijo e alho-poró, acompanhados de molho de abacaxi.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082303/bargatodebotas_gatoporo_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/gato-de-botas/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.914072,-43.2465389,Vila Isabel,https://comidadibuteco.com.br/buteco/gato-de-botas/
Bar Luiza,Tijuca,"Rua São Francisco Xavier, 68 | Tijuca, Rio de Janeiro – RJ",Lj. B,21985415231,Terça-feira: 13h – 23h30 | Quarta-feira: 13h – 23h30 | Quinta-feira: 13h – 23h30 | Sexta-feira: 13h – 23h30 | Sábado: 13h – 23h30 | Domingo: 13h – 17h30,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar Luiza Pastel Porcopiry Pastéis recheados com joelho de porco lentamente cozido e desfiado, finalizado com o toque levemente picante da folha de mostarda.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082310/barluiza_pastelporcopiry_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-luiza/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9211975,-43.2221317,Tijuca,https://comidadibuteco.com.br/buteco/bar-luiza/
Bar Sambódromo,Cidade Nova,"Avenida Salvador de Sá, 77 | Cidade Nova, Rio de Janeiro – RJ",,2122936703,Terça-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 22h | Sábado: 12h – 20h | Domingo: 12h – 20h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar Sambódromo Porquinho asiático em águas tupiniquins Guioza de porco com repolho caramelizado no molho de ostra, molho ponzu de tucupi, finalizado com cebolinha, gergelim, pó de camarão e pó de pimenta.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09082419/barsambodromo_porquinhoasiaticoemaguastupiniquim_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-sambodromo/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/page/2/,-22.9127941,-43.2014443,Cidade Nova,https://comidadibuteco.com.br/buteco/bar-sambodromo/
